S_ID,C_ID,SCHL,Region,Division,School_size,Urbanicity,S1,S2_1,S2_2,S2_3,S2_4,S2_5,S2_6,S2_7,S2_7a,S3,S4_1,S4_2,S4_3,S4_4,S4_5,S4_6,S4_7,S4_8,S4_8a,S5_1,S5_2,S5_3,S5_4,S5_5,S5_6,S5_7,S5_8,S5_9,S5_9a,S6,S6a,S7_1,S7_2,S7_3,S7_4,S7_5,S7_6,S7_7,S7_7a,S8,S9a,S9b,S9c,S9d,S9e,S10a,S10_1,S10_2,S10_3,S10_4,S11_1,S11_2,S11_3,S11_4,S11_5,S11_6,S11_7,S11_7a,S12_1,S12_1a,S12_1b,S12_2,S12_2a,S12_2b,S12_2c,S12_3,S12_3a,S12_3b,S12_3c,S12_4,S12_4a,S12_4b,S12_4c,S12_5,S13,S14,S15_1,S15_2,S15_3,S15_4,S15_5,S15_6,S15_7,S15_7a,S16_1,S16_2,S16_3,S16_4,S16_4a,S17_1,S17_2,S17_3,S17_4,S17_5,S17_6,S17_7,S17_8,S17_8a,S18_1,S18_2,S18_3,S18_4,S18_5,S18_6,S18_7,S18_8,S18_8a,S19,S20_1,S20_2,S20_3,S20_4,S20,S21,S21a,S22,S23,S23a,S24,S25,S26,S26a,S26b,S27,S28,S29,S30,S31,S_Coder
181,11,109,1,2,2,1,80,0,0,1,0,0,0,0, ,1,1,0,1,0,0,0,0,0, ,0,0,0,0,1,0,1,0,0, ,6,One has more job opportunities with having more languages.,1,0,0,0,0,0,0, ,4,100,-2,-2,-2,-2,100,4,4,3,3,5,1,3,2,3,2,-1, ,1,100,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,1,3,2,5,4,2,3,3,-1, ,1,1,0,0, ,0,0,1,0,1,0,0,1,Travel,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,2, ,239,-2, ,66,66,3, , ,Dominican,0,2,1994, ,2
183,11,109,1,2,2,1,80,0,0,1,0,0,0,0, ,1,0,0,1,0,1,0,1,0, ,0,0,0,0,1,1,1,0,0, ,10,Knowledge is power.,1,0,0,0,0,0,0, ,4,100,-2,-2,-2,-2,100,4,4,4,4,4,4,4,4,4,4,4, ,0,-2,-2,1,-1,-1,-1,1,-1,-1,-1,0,-2,-2,-2,0,1,2,2,2,7,1,6,3,-1, ,0,0,1,0, ,0,1,0,0,1,0,1,0, ,-1,-1,-1,-1,-1,-1,-1,-1, ,0,4,4,4,4,16,2, ,66,10, ,66,66,3, , ,-1,0,1,1992, ,2
184,11,109,1,2,2,1,80,0,1,1,0,0,0,0, ,1,0,0,1,0,1,0,0,1,Interested in Brazilain culture,0,0,0,0,0,0,1,0,0, ,10,It enables me to communicate with more people and have an understanding of other cultures.,1,0,0,0,0,0,0, ,3,100,-2,-2,-2,-2,100,4,4,4,3,2,1,3,2,3,2,-1, ,0,-2,-2,0,-2,-2,-2,1,110,100,-2,1,100,-2,-2,0,1,2,3,2,5,1,3,3,-1, ,1,0,0,0, ,0,0,1,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,2, ,239,-2, ,185,185,3, , ,American/ Puerto Rican,0,2,1994, ,2
186,11,109,1,2,2,1,80,0,0,1,0,0,0,0, ,1,0,0,0,0,1,0,0,0, ,0,0,0,0,0,0,1,0,0, ,10, ,1,0,0,0,0,0,0, ,4,100,-2,-2,-2,-2,100,4,4,4,3,5,1,1,1,2,2,-1, ,1,100,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,1,2,2,4,2,1,7,2,-1, ,0,1,0,0, ,0,0,0,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,3,15,2, ,239,-2, ,66,66,3, , ,Dominican,0,2,1988, ,2
187,11,109,1,2,2,1,80,0,0,1,0,0,0,0, ,1,1,0,1,0,0,0,0,0, ,0,0,1,0,0,0,0,0,0, ,10,New York is a melting pot.,1,0,0,0,0,0,0, ,4,100,-2,-2,-2,-2,100,4,3,4,2,2,3,3,1,1,1,-1, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,3,5,1,2,1,4,4,-1, ,1,0,0,0, ,0,1,0,0,0,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,2, ,239,-2, ,32,185,3, , ,Taino/ Brazilian,0,2,1996, ,2
188,11,109,1,2,2,1,80,0,0,1,0,0,0,0, ,1,1,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0, ,10,Bilingual is always best.,1,0,0,0,0,0,0, ,3,100,-2,-2,-2,-2,100,3,2,4,2,1,1,1,1,1,2,-1, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,4,3,4,5,2,6,3,-1, ,1,0,0,0, ,1,1,1,0,0,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,4, ,66,2, ,88,66,3, , ,-1,0,2,1983, ,2
1219,78,109,1,2,2,1,100,0,1,1,1,1,0,0, ,1,1,1,0,1,1,0,1,0, ,1,0,0,1,0,1,1,0,1,Speak with friends,10,So you can understand others in different situation.,0,0,0,1,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,2,5,7,1,6,2,3,2,Driving lessons,1,1,0,0, ,1,1,0,1,1,0,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,4, ,239,-2, ,168,168,2, , , ,0,2,1996,I believe language is very important to understand. If I did not have to take this course I would because going different places and seeing the look on peoples faces when they find someone that understands them is priceless.,1
1220,78,109,1,2,2,1,100,0,0,1,0,0,0,0, ,1,0,1,0,0,0,0,0,0, ,0,0,0,1,0,0,0,0,0, ,5,Because there are many different languages that can help me get ahead in life.,1,0,0,0,0,0,0, ,4,350,-2,-2,-2,-2,350,3,3,1,1,2,2,3,3,4,4,-1, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,100,-2,-2,0,1,5,3,3,4,2,5,2,-1, ,0,0,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,-1,-1,-1,-1,-1,-1,-1,-1, ,1,4,4,4,4,16,2, ,239,-2, ,-1,-1,2, , , ,0,1,1992, ,1
1221,78,109,1,2,2,1,100,0,1,1,1,0,0,0, ,1,0,1,0,0,0,0,0,0, ,0,0,0,1,1,1,0,0,0, ,6,understand other people,0,0,0,1,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,1,100,-2,-2,0,-2,-2,-2,0,1,3,5,5,4,1,7,7,-1, ,0,0,0,1, ,0,1,0,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,9, ,239,-2, ,239,239,2, , ,Caribbean American,0,2,1995, ,1
1222,78,109,1,2,2,1,100,0,0,1,0,0,0,0, ,1,0,0,0,1,0,1,0,0, ,0,0,1,0,0,0,0,0,0, ,10,Communicate with others,0,0,0,1,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,1,100,-2,-2,0,-2,-2,-2,0,1,3,2,2,4,2,2,1,-1, ,1,0,0,0, ,1,0,0,1,0,1,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,3,3,4,3,13,2, ,239,-2, ,239,239,3, , , ,-1,1,1994, ,1
1224,78,109,1,2,2,1,100,0,0,1,0,0,0,0, ,1,0,0,1,1,0,1,0,0, ,1,0,1,0,0,0,0,0,0, ,10,More job opportunities.,0,0,0,1,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,4,5,5,4,1,1,2,-1, ,0,1,0,0, ,0,0,0,0,0,1,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,1, ,239,-2, ,149,149,3, , ,Mexican-American,0,2,1995, ,1
1225,78,109,1,2,2,1,100,0,1,1,1,0,1,0, ,1,1,0,0,0,0,0,0,0, ,0,0,0,0,0,1,0,0,0, ,10,to be able to communicate effectively with spanish speakers.,0,1,0,0,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,2,6,2,6,1,7,2,-1, ,0,0,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,-1,-1,-1,-1,-1,-1,-1,-1, ,1,4,4,4,4,16,5, ,239,-2, ,239,239,2, , ,Black,0,2,1979, ,1
1226,78,109,1,2,2,1,100,0,1,0,0,0,0,0, ,1,1,0,0,1,0,0,0,0, ,0,0,0,0,1,0,0,0,0, ,10,Languages enable communication with all rather than just some.,0,0,0,1,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,1,100,-2,-2,0,-2,-2,-2,0,1,1,2,3,4,1,2,2,-1, ,0,1,0,0, ,1,0,0,0,0,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,9, ,229,2, ,229,229,5, , ,West Indian,0,2,1996, ,1
1229,78,109,1,2,2,1,100,0,1,1,0,1,0,0, ,2,0,0,1,0,1,1,1,0, ,1,0,1,0,0,0,1,0,0, ,10,because there are so many different languages being spoken in the u s not just english.,0,0,0,1,0,0,0, ,3,100,-2,-2,-2,-2,100,3,2,2,2,1,1,1,1,1,1,-1, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,5,2,2,1,1,1,2,-1, ,1,0,0,0, ,0,0,1,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,5, ,239,-2, ,185,239,3, , , ,0,2,1994, ,1
1230,78,109,1,2,2,1,100,0,1,0,0,0,0,0, ,1,1,0,0,0,0,0,0,0, ,0,0,0,0,0,1,0,0,0, ,10,Better opportunities,0,0,1,0,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,-1,-1,2,4,1,1,6,2,-1, ,0,0,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,-1,-1,-1,-1,-1,-1,-1,-1, ,1,4,4,4,4,16,2, ,239,-2, ,247,114,2, , , ,0,2,1987, ,1
1232,78,109,1,2,2,1,100,0,0,1,0,0,0,0, ,2,1,0,0,0,0,0,0,0, ,0,0,0,1,0,0,0,0,0, ,10, ,0,0,0,1,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,1,100,-2,1,100,-2,-2,1,100,-2,-2,0,-2,-2,-2,0,1,4,4,4,1,1,3,1,-1, ,0,0,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,0,0,0,0,0,0,0, ,0,4,3,3,2,12,6, ,239,-2, ,114,114,2, , , ,0,2,1995, ,1
1234,78,109,1,2,2,1,100,0,1,1,0,0,0,0, ,1,0,1,1,0,0,0,1,0, ,1,1,1,1,0,1,0,0,0, ,8, ,0,1,1,1,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,1,100,-2,1,100,-2,-2,1,100,-2,-2,1,-1,-1,-1,0,0,4,2,4,1,1,4,3,-1, ,1,0,0,0, ,1,1,1,0,0,0,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,6, ,239,-2, ,23,23,2, , , ,0,1,1996, ,1
1235,78,109,1,2,2,1,100,0,1,0,0,0,0,0, ,1,1,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0, ,7,Helps you to communicate with others,0,0,0,1,0,0,0, ,1,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,2,2,2,2,2,2,2,2, ,0,0,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,0,1,0,0,0,0,0,0, ,1,4,4,4,4,16,3, ,239,-2, ,10,10,2, , , ,0,2,1993, ,1
1236,78,109,1,2,2,1,100,0,1,1,1,1,0,0, ,1,1,0,0,0,0,0,0,0, ,1,0,0,0,0,0,1,0,0, ,5,"It is good to know more than one language, but I can survie knowing English alone.",0,0,1,0,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,4,3,4,1,1,7,2,-1, ,1,0,0,0, ,1,0,0,0,0,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,1, ,239,-2, ,114,114,2, , , ,0,2,1986, ,1
1237,78,109,1,2,2,1,100,0,1,1,1,1,0,0, ,1,1,1,0,0,0,0,0,0, ,0,0,1,0,1,0,1,0,0, ,10,To help people who can't speak english well.,1,0,0,0,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,1,100,-2,-2,0,-2,-2,-2,0,1,4,-1,-1,-1,-1,-1,-1,-1, ,-1,-1,-1,-1, ,-1,-1,-1,-1,-1,-1,-1,-1, ,-1,-1,-1,-1,-1,-1,-1,-1, ,-1,-1,-1,-1,-1,-4,6, ,239,-2, ,239,66,3, , ,American and Dominican,0,1,1993, ,1
1238,78,109,1,2,2,1,100,0,0,1,1,1,1,0, ,1,1,0,0,0,1,0,0,0, ,1,1,1,0,1,0,0,0,0, ,9,America is a diverse country.,0,0,1,0,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,4,2,3,6,1,4,2,-1, ,0,0,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,0,0,0,0,0,1,0, ,1,4,4,4,4,16,7,some college,239,-2, ,239,239,3, , ,American,0,1,1995, ,1
1239,78,109,1,2,2,1,100,0,1,1,0,0,0,0, ,1,1,0,0,0,0,1,1,0, ,1,0,0,1,0,0,1,1,0, ,10,Breaks down barrier of communication.,0,0,0,1,0,0,0, ,4,720,-2,-2,-2,-2,720,3,3,2,2,5,2,1,1,5,1,-1, ,0,-2,-2,0,-2,-2,-2,1,100,-2,-2,0,-2,-2,-2,0,1,1,3,4,7,2,4,3,7,outside activities,1,0,0,0, ,1,0,1,1,0,1,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,1, ,239,-2, ,245,245,5, , ,Vietnamese,0,2,1994,N/A,1
1354,86,109,1,2,2,1,100,1,0,0,0,0,0,0, ,1,1,0,0,0,0,0,0,0, ,0,0,0,1,0,0,0,0,0, ,10,to learn about different cultures,0,0,0,1,0,0,0, ,4,100,-2,-2,-2,-2,100,4,4,4,4,4,3,4,3,3,2,-1, ,1,100,-2,1,100,-2,-2,1,100,-2,-2,1,300,-2,-2,0,1,2,5,4,-1,1,1,3,-1, ,0,1,0,0, ,0,0,0,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,0,3,2,2,3,10,2, ,66,20, ,66,66,3, , ,Dominican,0,1,1993, ,3
1355,86,109,1,2,2,1,100,0,0,1,1,0,0,0, ,1,1,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,1,Program requirement,10,more then one langauge means more opportunity,0,0,0,1,0,0,0, ,4,100,-2,-2,-2,-2,100,4,4,4,4,5,1,2,3,5,5,-1, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,2,2,3,5,1,7,2,-1, ,0,0,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,0,0,0,0,0,0,1,0, ,0,3,3,3,3,12,9, ,66,6, ,66,66,3, , , ,0,2,1992, ,3
1356,86,109,1,2,2,1,100,0,0,1,0,0,0,0, ,1,1,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,1,Program Requirement,10,It is important because we have more opportunity and work or different area.,0,0,0,1,0,0,0, ,3,100,-2,-2,-2,-2,100,4,4,4,4,3,2,3,-1,3,4,-1, ,0,-2,-2,0,-2,-2,-2,1,100,-2,-2,0,-2,-2,-2,0,1,1,2,2,2,2,2,2,-1, ,1,0,0,0, ,0,0,0,1,0,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,0,3,3,3,2,11,9, ,66,18, ,66,66,3, , , ,0,2,1993, ,3
1358,86,109,1,2,2,1,100,0,1,0,1,0,0,0, ,2,0,0,1,0,0,0,0,0, ,0,0,0,1,1,0,0,0,0, ,10, ,0,0,0,1,0,0,0, ,4,100,-2,-2,-2,-2,-2,4,4,4,4,5,1,4,3,1,4,-1, ,0,-2,-2,0,-2,-2,-2,1,-1,-1,-1,0,-2,-2,-2,0,0,4,3,2,5,1,3,1,-1, ,0,1,0,0, ,-1,-1,-1,-1,-1,-1,-1,-1, ,-2,-2,-2,-2,-2,-2,-2,-2, ,0,4,3,3,3,13,2, ,66,16, ,66,66,3, , , ,0,2,1988, ,3
1360,86,109,1,2,2,1,100,0,1,0,1,1,0,0, ,2,1,0,0,0,1,0,0,0, ,0,0,1,0,1,0,0,0,0, ,10,"because knowings more than one langauge, that open a lot of door in life to be succesful. And more knowledge.",0,1,0,1,0,0,0, ,4,100,-2,-2,-2,-2,-2,3,3,3,2,5,5,4,5,4,4,-1, ,1,100,-2,1,100,-2,-2,1,100,-2,-2,0,-2,-2,-2,0,1,2,5,6,5,1,3,2,-1, ,1,0,0,0, ,0,0,0,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,0,3,2,3,3,11,3, ,66,18, ,66,66,3, , , ,1,1,1995, ,3
1361,86,109,1,2,2,1,100,0,1,0,1,1,0,0, ,1,0,1,0,0,0,0,0,0, ,0,0,0,0,0,1,0,0,0, ,9,A bilingual person could have more opportunities to communicate anywhere and to learn more.,0,1,1,0,0,0,0, ,4,100,-2,-2,-2,-2,-2,4,4,4,4,5,4,4,5,4,4,-1, ,1,100,-2,1,100,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,1,2,2,3,5,1,2,2,-1, ,1,0,0,0, ,1,0,0,0,0,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,0,3,2,3,2,10,1, ,239,-2, ,149,149,3, , ,Mexican-American,0,2,1996, ,3
189,12,110,2,3,2,2,100,0,1,1,0,1,0,0, ,2,0,0,1,0,1,0,1,0, ,1,0,1,1,0,0,1,0,0, ,8,more diverse & will better help you to get a good job,0,0,0,1,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,3,2,3,4,1,3,2,-1, ,1,0,0,0, ,0,0,1,0,1,0,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,2, ,239,-2, ,239,239,1, , , ,0,2,1995, ,1
191,12,110,2,3,2,2,100,0,0,0,0,1,0,0, ,2,0,0,0,0,1,0,1,0, ,0,0,0,0,0,0,0,0,1,it is most common,5,many people get by on just knowing only 1 language,0,0,0,1,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,0,5,2,2,7,1,1,2,-1, ,1,0,0,0, ,0,0,0,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,2, ,239,-2, ,239,239,1, , ,No,0,2,1971, ,1
192,12,110,2,3,2,2,100,0,0,0,0,1,0,0, ,1,0,0,0,0,1,0,0,0, ,0,0,0,0,0,0,1,0,0, ,10,It can open many doors in the future as this country moves to a more bilingual society,0,0,0,1,0,0,0, ,3,100,20,-2,-2,-2,20,3,2,3,3,5,1,1,3,1,1,-1, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,6,2,4,4,1,3,2,-1, ,1,0,0,0, ,0,0,0,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,0,4,4,4,4,16,2, ,185,11, ,66,185,3, , ,Human,0,1,1996, ,1
193,12,110,2,3,2,2,100,0,0,1,1,1,0,0, ,1,0,0,1,0,1,1,1,0, ,1,0,1,0,0,0,1,1,0, ,10,Language is one of the world's largest barriers.,0,0,0,1,0,0,0, ,2,100,-2,-2,-2,-2,100,4,2,4,4,1,2,2,2,1,3,-1, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,2,2,2,7,1,4,2,-1, ,0,1,0,0, ,0,0,1,0,1,1,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,5, ,239,-2, ,239,149,3, , ,Awesome - man; Buff - pants,0,1,1991,Language classes should be offered on a wider variety of frames in order to allow people to be able to take an interest in other cultures.,1
194,12,110,2,3,2,2,100,1,1,1,0,1,0,0, ,1,1,1,0,1,1,0,0,0, ,1,0,0,1,0,1,0,0,0, ,7,"It is nice, but not needed in life.",0,1,0,1,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,1,100,-2,-2,0,-2,-2,-2,0,0,5,4,4,5,1,5,2,-1, ,1,0,0,0, ,1,1,0,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,5, ,239,-2, ,126,126,5, , , ,0,1,1996, ,1
195,12,110,2,3,2,2,100,0,1,0,0,1,0,0, ,1,0,1,1,0,1,0,0,0, ,1,0,0,1,0,0,0,0,0, ,7,The world is changing with a lot of bilingual speakers.,0,0,1,1,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,3,2,2,5,1,2,2,-1, ,1,0,0,0, ,0,1,1,0,0,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,4, ,239,-2, ,239,239,6, , , ,0,2,1996, ,1
196,12,110,2,3,2,2,100,1,1,1,0,0,0,0, ,2,0,1,0,1,1,1,1,1,boast gpa,0,0,1,1,1,1,1,1,0, ,8,get a better job,0,1,1,1,0,0,1,family,4,100,-2,-2,-2,-2,100,3,4,3,3,5,1,2,3,1,2,-1, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,2,2,3,1,1,1,2,-1, ,1,0,0,0, ,0,1,0,1,1,0,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,6, ,239,-2, ,149,239,3, , , ,-1,1,1994, ,1
197,12,110,2,3,2,2,100,0,1,1,0,0,0,0, ,1,0,1,0,0,0,0,0,0, ,0,0,0,1,1,0,0,0,0, ,7, ,0,0,0,1,0,0,0, ,4,430,-2,-2,-2,-2,430,4,3,2,2,5,1,2,1,1,1,-1, ,1,430,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,1,5,3,1,6,1,7,2,-1, ,0,0,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,0,0,0,0,1,0,0,0, ,1,4,4,4,4,16,2, ,239,-2, ,126,126,5, , ,Lao,0,2,1993, ,1
198,12,110,2,3,2,2,100,0,0,1,0,0,0,0, ,1,0,1,1,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0, ,7, ,0,0,1,0,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,1,10,-2,-2,0,-2,-2,-2,0,1,4,2,4,6,1,1,2,-1, ,1,1,0,0, ,0,1,1,0,0,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,2, ,239,-2, ,239,239,1, , ,American,0,2,1996, ,1
200,12,110,2,3,2,2,100,0,0,1,0,0,0,0, ,1,1,1,1,1,1,0,1,0, ,1,0,0,1,1,1,1,0,0, ,10,Universal,0,0,0,1,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,4,2,4,7,1,1,2,-1, ,0,0,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,-1,-1,-1,-1,-1,-1,-1,-1, ,1,4,4,4,4,16,2, ,239,-2, ,239,239,1, , , ,0,2,1996, ,1
202,12,110,2,3,2,2,100,0,0,1,0,1,0,0, ,1,0,0,1,0,1,0,1,0, ,1,0,0,1,1,0,1,0,0, ,10, ,0,1,1,1,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,3,2,2,1,1,2,2,-1, ,1,1,0,0, ,0,0,1,0,1,0,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,6, ,239,-2, ,239,239,1, , ,Swedish-American,0,1,1995, ,1
203,12,110,2,3,2,2,100,1,0,0,0,0,0,0, ,1,1,0,0,0,0,0,0,0, ,1,0,0,1,0,0,0,0,0, ,5,communicate effectivly,0,1,1,0,0,0,0, ,1,-2,-2,-2,-2,-2,-2,3,2,3,3,1,1,1,1,1,1,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,4,3,1,7,1,3,2,-1, ,0,0,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,-1,-1,-1,-1,-1,-1,-1,-1, ,1,4,4,4,4,16,2, ,239,-2, ,239,239,1, , , ,0,1,1993, ,1
204,12,110,2,3,2,2,100,1,1,1,1,1,0,0, ,2,0,0,1,1,1,0,1,1, ,1,0,0,0,0,0,1,0,1,speak w/ co-workers & friends,10,the world is changing,1,0,0,0,0,0,0, ,3,630,40,-2,-2,-2,-1,3,3,3,3,4,2,2,1,5,2,-1, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,100,-2,-2,0,1,3,2,2,6,1,5,2,-1, ,1,0,0,0, ,0,0,1,1,1,0,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,2, ,239,-2, ,239,239,1, , ,Swedish,0,2,1993,I recommend everyone tot take a language class to provide a better future for all sorts of communication.,1
